labels,justification,text
"Xingamento-Rotulação,Apelo_ao_Medo-Preconceito,Dúvida,Linguagem_Carregada","O texto apresenta várias técnicas de propaganda, incluindo Xingamento-Rotulação ao se referir ao povo brasileiro com desprezo e ao utilizar a expressão ""botar o rabinho entre as pernas"". O Apelo_ao_Medo-Preconceito é evidente na ameaça de guerra e na afirmação de que o Brasil precisará se desculpar 'de joelhos'. Também há Dúvida sobre a credibilidade e o caráter pacífico dos brasileiros, contrastando com as agressivas declarações de Maduro. A Linguagem_Carregada é utilizada ao descrever Lula como 'um herói' e falar em 'liquidar Brasil', evocando emoções intensas e um clima de confronto.","venezuela declarando guerra ao brasil cercados de militares maduro fez um rápido discurso já na fronteira do brasil com a venezuela, próximo a cidade de pacaraima, cidade no norte de roraima. em um rápido discurso maduro disse que se souber que lula foi preso mandará suas forças militares atacarem o brasil sem piedade., no podemos aceptar que un gran hermano sea tratado de esa forma lula es un héroe,  merece todo nuestro respeto  apoo si la policía de brasil pone un dedo en él, mi ejército entrar en brasil  capturar a ese gran hombre, si es necesario liquidar a brasil para salvar a lula vo a liquidar, maduro disse que o ataque vai se iniciar ao norte do brasil, chegando até são paulo, rio de janeiro, curitiba e porto alegre. maduro disse que o brasil vai pedir perdão de joelhos a venezuela, e que lula ira voltar ao poder, para juntos dominarem a américa latina. , o porta voz do governo enviou uma carta para maduro, pedindo calma, para não haver nenhum conflito, pois alegou que o povo brasileiro é pacifico pacifico e o caralho, ele declarou guerra ao brasil, se o brasil botar o rabinho entre as pernas e se acovardar diante dessa ameaça"
"Apelo_ao_Medo-Preconceito,Linguagem_Carregada,Xingamento-Rotulação,Dúvida,Exagero-Minimização","O texto utiliza o Apelo ao Medo ao sugerir uma união de forças contra o Brasil, implicando uma ameaça existencial. A Linguagem Carregada aparece pela utilização de termos emotivos como 'comunista' e 'crime organizado', que geram uma resposta emocional. O Xingamento-Rotulação se evidencia ao se referir ao presidente do Chile como 'comunista', associando-o a uma conotação negativa. A Dúvida está presente ao questionar a credibilidade das ações do presidente e de Lula, insinuando que suas intenções são maliciosas. Por fim, o Exagero-Minimização é utilizado ao afirmar que 'toda a OTAN' estaria envolvida, o que é uma generalização e diminui a importância de outras perspectivas.","atual presidente do chile se opõe às manifestações no brasil e defende uma ação de toda a américa latina contra o brasil e seu exército. se preparem, pois não só a esquerda vai se unir contra nosso país, como o crime organizado e toda a otan..span, presidente comunista do chile dizendo que vai reunir todos os países da américa latina para invadir o brasil. para esse comunista, loola ganhou. tente algo contra nós, comunista. você vai se manter no cargo e nem o loola. código fonte já.span"
"Apelo_ao_Medo-Preconceito,Linguagem_Carregada,Exagero-Minimização","O texto utiliza o 'Apelo ao Medo' ao descrever uma situação alarmante em que avicultores e suinocultores são atacados pela população faminta, instigando ansiedade sobre a insegurança nos negócios. A 'Linguagem Carregada' também está presente com termos como 'faminta' e 'atacados', que evocam forte emoção. Além disso, há 'Exagero-Minimização' ao sugerir que 'nenhum negócio mais está seguro lá', o que pode exagerar a situação geral.","resultado do comunismo na argentina avicultores, suinocultores são atacados na argentina, pela população faminta. nenhum negócio mais está seguro lá. levaram os porcos carregando no braço para casa para matar a fome da família."
"Xingamento-Rotulação,Apelo_ao_Medo-Preconceito,Exagero-Minimização,Linguagem_Carregada","O texto utiliza a técnica de 'Xingamento-Rotulação' ao se referir a Alberto Fernández como 'ditador' e 'amigo do lulu ladrão'. A técnica de 'Apelo_ao_Medo-Preconceito' é evidente na descrição do direito de herança revogado, com insinuções que visam criar medo sobre a perda de propriedade. 'Exagero-Minimização' aparece na declaração de que as propriedades 'passarão automaticamente para o estado comunista', simplificando e exagerando a situação. A 'Linguagem_Carregada' é utilizada em frases emotivas e carregadas que visam influenciar o sentimento do leitor."," argentina presidente comunista alberto fernandez revogou o direito de herança. ao morrer as propriedades agora serão herdadas pelo estado. não mais pelos filhos. sabe quem é o ídolo de fernandez??, alberto fernández atual presidente da argentina declara que os imóveis ficarão na posse dos atuais proprietários somente enquanto eles viverem depois os filhos não herdarão mais as propriedades passarão automaticamente para o estado comunista inclusive as fazendas., o ditador amigo do lulu ladrão que é presidente da argentina o alberto fernandes revogou o direito de herança, o imóvel deixa de ser herança da família e passa a ser do gov. vai vendo brasil."
"Linguagem_Carregada,Repetição,Apelo_ao_Medo-Preconceito","O texto utiliza 'bombaço' e 'boa notícia' para criar um impacto emocional forte e fazer com que a informação pareça mais alarmante e relevante. A repetição da ideia da prisão do CEO da empresa Smartmatic enfatiza a suposta seriedade do conteúdo, sugerindo que isso é uma 'evidência de fraude'. Além disso, o uso da expressão 'nação brasileira' e a menção ao FBI interligam a narrativa a um apelo ao medo de fraude nas eleições, instigando pânico em relação à segurança eleitoral.","bombaço, pessoal. o ceo presidente da empresa smartmatic, que fabrica as urnas das nossas eleições, foi preso hoje pelo fbi. mais uma evidência de fraude, porém agora documentada. , boa notícia preso nos eua pela interpol, o presidente da empresa que controla as urnas eletrnicas no brasil. vejam o porque nação brasileira !!!"
"Apelo_ao_Medo-Preconceito,Dúvida","A declaração sobre a possibilidade de Putin paralisar o fornecimento de fertilizantes é uma forma de apelo ao medo, pois sugere que a eleição de Lula pode causar sérias consequências para o Brasil, o que gera ansiedade. Além disso, a menção de que alguns economistas veem essa posição como preocupante insinua dúvida sobre a segurança da economia brasileira sob a possível administração de Lula.","putin diz que pode paralisar fornecimento de fertilizantes para o brasil caso lula seja eleito. a fala do presidente russo foi dita em uma reunião no congresso russo, que trata de assuntos sobre o agronegócio de alguns países, alguns economistas veem essa posição como preocupante, seria um grande desastre."
"Linguagem_Carregada,Xingamento-Rotulação,Repetição,Apelo_ao_Medo-Preconceito,Exagero-Minimização","O texto utiliza linguagem carregada com termos emocionais como 'terrorista' e 'sangrenta', promovendo uma visão negativa de Gabriel Boric. A rotulação de Boric como 'terrorista' é uma forma de xingamento-rotulação, que busca deslegitimá-lo. A repetição da frase sobre 'incendiar o país' reforça a mensagem de caos e destruição, aumentando o apelo ao medo. O uso de exageros, como a ideia de uma 'guerra civil' e que 'o Chile está em chamas', minimiza ou distorce a realidade, criando um senso de urgência e pânico."," o terrorista gabriel boric está provocando uma guerra civil no chile que poderá ser a mais sangrenta de sua história! ,  elegeram o gabriel boric, presidente do chile, agora reagem contra suas medidas comunistas e incendeiam o país. o gabriel boric, presidente do chile, agora reagem contra suas medidas comunistas e incendeiam o país. , o chile está em chamas"
"Linguagem_Carregada,Xingamento-Rotulação,Repetição,Apelo_ao_Medo-Preconceito,Espantalho","O texto utiliza linguagem carregada ao descrever a situação de forma emocional e negativa, como em 'pq, que nojo'. A rotulação e xingamentos ocorrem quando o autor se refere aos oponentes como mentirosos. A repetição é evidente na insistência sobre a farsa, no uso de diferentes frases que reafirmam a ideia do atentado ser falso. O apelo ao medo é implícito ao sugerir que a vida de uma vice-presidente estava em risco de forma absurda, criando uma imagem alarmante. O espantalho aparece ao afirmar que os opositores inventam atentados sem fornecer argumentos diretos, distorcendo a ideia inicial.","muita farsa assistindo o jornal a arma apontada pra ela e brilhosa e contornos arredondados como a desse vídeo a que apresentaram como a arma usada é totalmente fosca e com cantos quadrados. da pra ver a água saindo kkkk,  arma usada em cristina kirchner era uma pistola de água. parece que é a mesma narrativa falaciosa daquele atentado contra o nibus de lula, inventado pelo pt. segue o vídeo comprovando.,  cara o atentado cristina kitchener era uma arma de água, nesse vídeo vcs vão ver que o cara tentou matar ela afogada mais não conseguiu, graças a deus já pensou uma vice presidente morre afogada!,  eles não tem limites, arma de jato de água ? mentem , criam fakes, inventam atentados, e ainda dizem que são pelo povo!!! pqp que nojo"
"Linguagem_Carregada,Xingamento-Rotulação,Repetição,Apelo_ao_Medo-Preconceito,Culpa_por_Associação","O texto utiliza 'linguagem carregada' ao descrever os bens apreendidos de forma exagerada e emocional. O uso de termos como 'esquerd4lh4' e 'v4gabund4' demonstra 'xingamento-rotulação', associando negativamente as figuras mencionadas. A repetição dos números dos bens (42 automóveis, 4 caminhões, etc.) enfatiza a magnitude da corrupção, representando a 'repetição'. O apelo ao medo e preconceito é evidente na sugestão de que 'socialismo' leva à corrupção e desigualdade. Além disso, ao referir-se a 'amigos do descond3nad l9 do brasil', sugere-se uma 'culpa por associação' ao conectar figuras políticas de forma negativa.","veja no vídeo alguns dos bens apreendidos de cristina kirchner, vicepresidente da argentina. a lista de embargos consta 42 automóveis, incluindo 4 caminhões, 145 imóveis, 2 barcos, além de 18 contas bancárias.span, atenção patriiotas que deus tenha misericórdia do povo argentino muitos não irão entender o que esse rapaz tá falando , mas tratase da esquerd4lh4 argentina amigos do descond3nad l9 do brasil! bens da cristina kirchner vai vendo se nosso dinheiro não serviu pra todos estes bensspan, 42 automóveis 4 caminhões 145 imóveis 2 barcos e pasmem 18 contas bancarias . socialismo ser esquerdalha rende para alguns. tudo fruto de corrupção, se duvidar o nosso dinheiro que foi enviado pra essa v4gabund4 ,serviu pra tudo que esta no vídeospan"
"Apelo_ao_Medo-Preconceito,Xingamento-Rotulação,Repetição,Exagero-Minimização,Culpa_por_Associação","O texto utiliza o Apelo ao Medo ao ilustrar uma situação extrema na Argentina para instigar receio em relação ao comunismo. O Xingamento-Rotulação é evidente ao associar a esquerda e o comunismo a situações negativas, como filas para abastecimento. A Repetição ocorre na insistência sobre as consequências de votar no Lula, sugerindo uma consequência negativa sem apresentar evidências concretas. O Exagero-Minimização aparece na representação dramática da realidade na Argentina, enquanto a Culpa por Associação é utilizada ao conectar o apoio ao comunismo com a possibilidade de vivenciar uma crise semelhante."," argentina parou!! sem gasosa para carros e aviões . a esquerda sonha com um brasil as 4 da matina implorando um pão numa fila sem fim. , pra quem gostam e apoiam o comunismo veja a fila de carros pra abastecimento de gasolina na argentina. vota no lula e vc vai passar por isto."
"Apelo_ao_Medo-Preconceito,Exagero-Minimização,Linguagem_Carregada","O texto utiliza o apelo ao medo ao afirmar que a Holanda está à beira de uma guerra civil, criando uma sensação de pânico sobre a situação atual. O exagero se manifesta na descrição da resposta policial como atirar com armas de fogo contra fazendeiros, que pode ser uma representação excessiva da realidade. Além disso, a linguagem carregada é evidente com expressões como 'guerra civil' e 'não é piada!', que visam intensificar as emoções do público.","a holanda está na beira de uma guerra civil a sieta van keimpema do farmers defence force explica os motivos de protestos gigantes de fazendeiros na holanda a razão é uma carta da ministra de natureza e gás carbono não é piada!, que para reduzir emissões de carbono! , policiais já começaram a atirar com arma de fogo contra os fazendeiros e seus tratores. a holanda está a um passo de uma guerra civil."
"Repetição,Linguagem_Carregada,Apelo_à_Bandeira","O texto utiliza a repetição ao mencionar várias vezes a distribuição de estilingues pelo governo da Venezuela, enfatizando a ideia de forma a garantir que a mensagem se fixe na mente do leitor. A linguagem carregada é evidenciada na expressão 'que beleza' e na utilização de 'viva o comunismo', que carrega uma forte conotação emocional. O apelo à bandeira é sugerido pelo uso do termo 'governo da venezuela', que busca explorar sentimentos relacionados ao nacionalismo e à identificação com ideologias políticas específicas.","governo da venezuela distribui estilingue para os policiais em lugar de armas que beleza..e viva o comunismo. , parece mentira, mas é verdade. governo da venezuela distribuiu estilingue para os policiais em lugar de armas que beleza..e viva o comunismo. , estilingue passa a ser usado como armamento na venezuela"
"Apelo_ao_Medo-Preconceito,Apelo_à_Bandeira,Xingamento-Rotulação,Linguagem_Carregada","O texto utiliza um apelo ao medo ao sugerir que a situação da dona de casa é um indicativo do que o 'comunismo' e a esquerda trarão para o Brasil. Há também uma rotação negativa ao rotular o juiz como 'esquerdista', bem como o uso de uma linguagem carregada para expressar emoções fortes sobre a situação. Além disso, convoca um sentimento de identidade nacional em relação à mensagem política ao associar a situação com um apelo a figuras políticas específicas, como Jair Bolsonaro.","na argentina, dona de casa saiu para fazer compras, quando voltou o imóvel estava ocupado pelo movimento sem teto urbano mstu. o juiz esquerdista não concedeu liminar. olha o que nos espera!!!. vejam o que o comunismo faz por isso o brasil é.. jairbolsonaro"
"Apelo_ao_Medo-Preconceito,Xingamento-Rotulação,Apelo_à_Bandeira,Dúvida","O texto utiliza apelo ao medo ao sugerir que a obrigatoriedade de compartilhar casas pode ser um problema para aqueles que não sabem discernir entre o bem e o mal, rotulando-os como 'incautos' e 'estúpidos'. Também apela à bandeira ao mencionar que a propriedade será para todos, enfatizando um sentido de igualdade social. A dúvida é levantada ao introduzir a questão da regulamentação imediata sem fornecer detalhes claros, confundindo o leitor.","casas com mais de 65 m2 na colmbia, agora serão compartilhadas mostre isso aos incautos e estúpidos, que ainda não sabem discernir entre o bem e o mal.span, las viviendas de más de 65 m2 serán compartidas con otras familias gustavo petro 26 de abril de 218 14,339 compartido la propiedad en la colombia humana será para todos, dijo el candidato a la presidencia gustavo petro en rueda de prensa en bogotá. recordó que la carencia de vivienda es uno de los problemas estructurales del país, el cual debe ser solucionado urgentemente a través de esta medida, según la cual quien habite casas o apartamentos maores de 65 m2 estará obligado a compartir el espacio con otras familias, asunto que será materia de reglamentación inmediatamente gustavo petro asuma la presidencia de la.span, as casas com mais de 65m2 serão compartilhadas com outras famílias gustavo petro 26 de abril de 219 14,339 compartilhamentos na colmbia humana, a propriedade será para todos, disse o candidato à presidência gustavo petro em uma coletiva de imprensa, em bogotá. ele lembrou que a carências de habitações é um dos problemas estruturais do país, o qual deve ser solucionado urgentemente através dessa medida, segundo a qual, quem habita casas ou apartamentos maiores de 65 m2 será obrigado a compartilhar o espaço com outras famílias, assunto que será matéria de regulamentação imediatamente assim que gustavo petro assumir a presidência da.span"
"Linguagem_Carregada,Xingamento-Rotulação,Apelo_ao_Medo-Preconceito,Culpa_por_Associação,Dúvida","O texto utiliza uma linguagem carregada ao se referir ao presidente eleito da Colômbia como 'narcotraficante' e 'cúmplice de Pablo Escobar', apelando para o medo e preconceito em relação a ele. A possibilidade de associação com figuras negativas e a rotulação insinuam que ele compartilha características indesejáveis. Além disso, o autor expressa dúvida sobre a legitimidade das eleições e levanta um alerta para que os 'brasileiros' não façam o mesmo erro, o que pode insinuar que há um problema sério com a escolha. A expressão 'apoiado pelo PT' também se insere no contexto de culpa por associação, ligando-o a um partido político que tem conotações polarizadoras no Brasil.","apareceram apenas 3 milhões de votos a mais nas urnas eletrnicas da colmbia, que favoreceu o candidato narcotraficante amigo do pablo escobar e do hugo chavez span, este aí ao lado do maior narcotraficante da história, pablo escobar, é o beiçola da grande família? não, é o presidente eleito da colmbia brasileiros, não cometamos o mesmo erro. span, gustavo petro  presidente eleito na colmbia. narcotraficante das farcs,apoiado pelo pt, cúmplice de pablo escobar. tá bom pra vocês ?span"
"Apelo_à_Autoridade,Simplificação_Causal","O texto utiliza a figura de Bill Gates como uma autoridade para promover a ideia de que o sucesso está relacionado à capacidade de aproveitar oportunidades. Além disso, a história é simplificada ao sugerir que a única razão para o sucesso da jornalista poderia ser escrever um valor em um cheque, ignorando outras complexidades e fatores que contribuem para o sucesso.","bom dia o que é o sucesso??? um dia uma jornalista perguntou ao bill gates!!! qual era o segredo do seu sucesso??? ele passoulhe para a mão um cheque e disse!! escreva no cheque um valor!! ela disselhe sr. bill não vou fazer isso!! ele insistiu novamente, escreva um valor!! ela disse que não o fazia. então ele olhou para ela e disse eu nunca perco uma oportunidade!!! você neste momento poderia ser a jornalista mais rica do mundo!!!"
"Xingamento-Rotulação,Apelo_ao_Medo-Preconceito,Culpa_por_Associação","O texto usa a técnica de Xingamento-Rotulação ao referir-se ao 'comunismo' como um 'pacote de tranqueiras', deslegitimando essa ideologia de forma negativa. Há um Apelo ao Medo ao sugerir a necessidade de criminalizar o comunismo em resposta ao massacre, insinuando uma conexão entre ideologias e violência. A técnica de Culpa por Associação é evidente na relação entre o atirador e uma ideologia específica, buscando descredibilizar essa ideologia ao associá-la a atos violentos."," autor do massacre na escola nos eua. adivinha a ideologia dele? temos que criminalizar o comunismo e todo seu pacote de tranqueiras! rt , a menine, atirador do texas, vai vendo brasil, qual o objetivo??? eis a menine que matou 14 crianças 1 professora no texas"
"Apelo_ao_Medo-Preconceito,Apelo_à_Popularidade,Linguagem_Carregada,Repetição","O texto utiliza o Apelo ao Medo ao alertar sobre uma suposta estratégia perversa dos bolsonaristas, instigando ansiedade ao descrever a invasão de igrejas. O Apelo à Popularidade se faz presente ao afirmar que as pesquisas sérias conferem vitória ao Lula, sugerindo que muitas pessoas acreditam nisso. A Linguagem Carregada é evidente nas expressões como 'estratégia perversa', que amplificam a emoção. Por fim, a Repetição aparece na ideia de que os bolsonaristas precisarão apelar, reforçando a mensagem ao longo do texto.","pastor caio fábio, acaba de anunciar que há uma estratégia perversa de bolsonarista para nos últimos 3 dias de campamha colocarem bolsonaristas disfarçados de petistas, com camisas vermelhas, e invadirem igrejas evangélicas e católicas.. , bolsonaro subiu um pouco nas pesqusas, mas os indecisos agora são muito poucos. os votos que o lula tem hoje nas pesquisas sérias, dão vitória ao lula. bolssonaro precisa que lula perca pelo menos um pouco dos seus votos. fato este que não está acontecendo. então os bolsonaristas irão apelar. propaguem esse alerta do pastor caio fábio. campamha colocarem b disfarçados de e invadirem igrejas evangélicas e católicas "
"Xingamento-Rotulação,Apelo_ao_Medo-Preconceito,Repetição,Culpa_por_Associação,Linguagem_Carregada","O texto utiliza xingamentos e rotulações ao se referir a grupos como 'vândalos do MST', além de insinuar que a 'esquerda odeia os cristãos'. Há repetição da mesma mensagem em diferentes formas, usando a mesma narrativa para enfatizar o ataque a religiões. A construção de medo e preconceito está presente ao sugerir que esses grupos são perigosos e hostis, associando-os com conotações negativas. A expressão 'espalhem esse vídeo, urgente' cria uma sensação de urgência e necessidade de ação. A culpa por associação é utilizada ao implicar que membros da igreja que apoiam o PT são parciais ou desonestos.","hoje 18122 ao visitar comunidade ribeirinha em eldorado do carajás no pará , vandalos do mst e de movimento de reforma agrária, ateiam fogo em carros de padre zeno da paróquia de eldorado e freiras que o acompanhavam , dia 18122, ao visitar uma comunidade ribeirinha em eldorado do carajás no pará, vândalos do mst, colocaram fogo em carros do padre zeno da paróquia de eldorado e freiras que o acompanhavam. e ainda tem membros da cúpula da igreja fazendo campanha ao pt espalhem esse vídeo, urgente ontem 18122 comunidade ribeirinha em eldorado do carajáspa, vandalos da esquerda, do mst e de movimento de reforma agrária, ateiam fogo em carros de padre zeno da paróquia de eldorado e freiras, a esquerda odeia os cristãos,seja caólicos ou evangélicos,eles odeiam"
